Token Holder,Balance
0x64f,100144.66200591762
0x2c5,100079.48999999998
0x027,90759.84858242258
0x320,54743.889543615114
0xba7,50020.0
0xfe1,49675.6020772
0xd1a,38901.620449383394
0xe71,19710.937028114025
0xb44,19397.57145039149
0x317,19347.019000141714
0xdcb,17643.406538972173
0x664,17614.631352939712
0xe77,15000.0
0xe1a,14739.999999999998
0x7dc,14000.0
0x929,12521.175799570043
0xc3c,11212.000000000002
0x3ee,11158.987156281552
0xee5,10903.367143739024
0x8d9,10612.078982973731
0x1d0,10199.603684072426
0x0dc,10000.0
0xe53,9590.57315877082
0x239,9121.35
0x82d,8171.4036896327125
0xb8f,8083.840904790289
0x6fc,7852.999999999999
0x63e,7499.999999999999
0x877,7455.611508603232
0x09a,7041.7584598964595
0x31e,6920.239069772508
0x2cb,6597.687191385422
0x3cc,6583.024976840196
0x461,6563.7787094998275
0x453,6500.0
0x083,6194.643427347711
0xbd6,6000.0
0x016,5400.0
0x13d,5123.805343888088
0xff0,5025.0
0x8dd,5000.037717590701
0x426,5000.0
0x4ff,4862.006179497857
0x9de,4857.185895908905
0x45a,4797.801263618748
0x42a,4499.054930803422
0x965,4024.6804736881377
0xc1c,4000.0
0x8fe,3949.0272138508167
0x166,3850.110490506395
0x82b,3742.6726766143433
0x1a7,3706.592633071677
0xaed,3656.2500000000005
0x509,3502.756248219163
0xe19,3467.7902150210316
0x068,3373.388157208513
0x476,3166.0366076532223
0xbbf,3021.75
0xa1e,3000.026638358822
0xdd9,2985.5026889816713
0x095,2961.6748329355587
0x5d1,2750.0
0x4ed,2636.83757241232
0xe16,2579.4723594848847
0xc3d,2555.094035564135
0xe9b,2500.9999999999995
0x345,2413.7505982150346
0xe15,2411.823998747518
0x2b6,2364.5209243573217
0x050,2364.0
0x8de,2326.184804751152
0xfc5,2263.8781951980054
0x0b5,2241.3065155618337
0xbc3,2120.0
0xcb6,2000.2
0x73c,2000.0
0x304,1838.3816022893272
0x4ab,1823.593192605932
0x235,1809.3027792370092
0x1c3,1781.249999999999
0x085,1751.0
0x39c,1737.6360190048429
0x26e,1725.9078169912502
0x33c,1709.8208958290863
0xced,1709.3881444418187
0x973,1551.106583986674
0xb8e,1509.8967516748212
0x779,1490.004495386973
0x9f6,1485.8311831853475
0xa79,1451.827394030745
0x169,1419.049989392049
0xff9,1415.9813377003468
0x2df,1347.2495463615398
0x22e,1340.5286144990403
0xe4f,1329.5668299604374
0xbde,1324.0425868950072
0x1a2,1315.0307590619245
0x285,1283.0
0x833,1269.9772259198094
0xc16,1261.1430976549925
